bit_count;stride;training_length;input;output;runtime
1;64;0;1;1;160955
1;64;0;1;1;120411
1;64;0;0;0;148069
1;64;0;0;0;165603
1;64;0;1;1;118440
1;64;0;1;1;202815
1;64;0;1;1;141853
1;64;0;1;1;140331
1;64;0;0;0;128043
1;64;0;1;1;144327
1;64;0;1;1;123181
1;64;0;1;1;117338
1;64;0;0;0;148493
1;64;0;0;1;117440
1;64;0;1;1;105595
1;64;0;1;1;109719
1;64;0;0;0;162205
1;64;0;1;1;118322
1;64;0;0;0;448799
1;64;0;1;1;130267
1;64;0;1;1;120048
1;64;0;0;0;118433
1;64;0;0;0;122933
1;64;0;0;0;114078
1;64;0;1;1;123829
1;64;0;1;1;133129
1;64;0;1;1;129154
1;64;0;1;1;123989
1;64;0;1;1;130525
1;64;0;1;1;133485
1;64;0;1;1;153568
1;64;0;0;0;122549
1;64;0;0;0;114717
1;64;0;1;1;122858
1;64;0;0;1;113203
1;64;0;0;0;143077
1;64;0;0;0;161124
1;64;0;1;1;119754
1;64;0;0;0;123278
1;64;0;0;1;140760
1;64;0;0;0;188570
1;64;0;1;1;148855
1;64;0;0;0;161655
1;64;0;0;0;142632
1;64;0;1;1;134043
1;64;0;0;0;162236
1;64;0;1;1;161955
1;64;0;0;0;117123
1;64;0;1;1;130019
1;64;0;0;0;133397
1;64;0;0;0;123197
1;64;0;1;1;131401
1;64;0;0;0;132647
1;64;0;0;0;156125
1;64;0;0;0;127938
1;64;0;0;0;128391
1;64;0;1;1;144113
1;64;0;0;0;126197
1;64;0;1;1;122147
1;64;0;1;1;137133
1;64;0;1;1;196418
1;64;0;0;0;131445
1;64;0;0;0;117126
1;64;0;1;1;173466
1;64;0;0;0;135996
1;64;0;1;1;110808
1;64;0;1;1;101676
1;64;0;1;1;114214
1;64;0;0;0;100392
1;64;0;1;1;118474
1;64;0;0;0;99370
1;64;0;0;0;116500
1;64;0;0;1;111857
1;64;0;0;0;102385
1;64;0;0;0;170478
1;64;0;1;1;106389
1;64;0;1;1;112469
1;64;0;0;1;126067
1;64;0;0;0;134908
1;64;0;1;1;101754
1;64;0;1;1;120189
1;64;0;0;0;112437
1;64;0;1;1;168440
1;64;0;1;1;190612
1;64;0;1;1;124099
1;64;0;1;1;165239
1;64;0;0;0;136457
1;64;0;1;1;130478
1;64;0;1;1;130736
1;64;0;1;1;127290
1;64;0;1;1;151376
1;64;0;1;1;116773
1;64;0;1;1;172064
1;64;0;0;0;148998
1;64;0;1;1;135457
1;64;0;0;0;142274
1;64;0;1;1;129760
1;64;0;0;0;121898
1;64;0;1;1;132045
1;64;0;0;1;141055
1;64;10;1;1;150173
1;64;10;1;1;148054
1;64;10;0;0;150137
1;64;10;0;0;135240
1;64;10;1;1;142362
1;64;10;1;1;140624
1;64;10;1;1;118624
1;64;10;1;1;149107
1;64;10;0;0;143737
1;64;10;1;1;138735
1;64;10;1;1;148031
1;64;10;1;1;142228
1;64;10;0;0;129076
1;64;10;0;0;145127
1;64;10;1;1;126511
1;64;10;1;1;143366
1;64;10;0;0;131130
1;64;10;1;1;150059
1;64;10;0;0;200156
1;64;10;1;0;148168
1;64;10;1;1;131075
1;64;10;0;0;147579
1;64;10;0;0;140751
1;64;10;0;0;141612
1;64;10;1;1;130573
1;64;10;1;1;158992
1;64;10;1;1;128478
1;64;10;1;1;270808
1;64;10;1;1;147283
1;64;10;1;1;170705
1;64;10;1;1;156298
1;64;10;0;0;140075
1;64;10;0;0;132151
1;64;10;1;1;133867
1;64;10;0;0;138914
1;64;10;0;0;145368
1;64;10;0;0;151487
1;64;10;1;1;144253
1;64;10;0;0;142714
1;64;10;0;0;125622
1;64;10;0;0;152907
1;64;10;1;1;133697
1;64;10;0;0;136329
1;64;10;0;0;129246
1;64;10;1;1;129409
1;64;10;0;0;141924
1;64;10;1;1;134920
1;64;10;0;0;142046
1;64;10;1;1;122998
1;64;10;0;0;143967
1;64;10;0;0;163754
1;64;10;1;1;137204
1;64;10;0;0;189746
1;64;10;0;0;140258
1;64;10;0;0;146229
1;64;10;0;0;128278
1;64;10;1;1;124500
1;64;10;0;0;128772
1;64;10;1;1;123780
1;64;10;1;1;125108
1;64;10;1;1;162209
1;64;10;0;0;157678
1;64;10;0;0;131733
1;64;10;1;1;136609
1;64;10;0;0;145700
1;64;10;1;1;726289
1;64;10;1;1;133808
1;64;10;1;1;142325
1;64;10;0;0;140583
1;64;10;1;1;139512
1;64;10;0;0;167318
1;64;10;0;0;146792
1;64;10;0;0;173887
1;64;10;0;0;141688
1;64;10;0;0;160001
1;64;10;1;1;156183
1;64;10;1;1;157502
1;64;10;0;0;123894
1;64;10;0;0;127362
1;64;10;1;1;115927
1;64;10;1;1;174688
1;64;10;0;0;134548
1;64;10;1;1;105005
1;64;10;1;1;128345
1;64;10;1;1;119375
1;64;10;1;1;104363
1;64;10;0;0;131766
1;64;10;1;1;239282
1;64;10;1;1;113196
1;64;10;1;1;118524
1;64;10;1;1;115661
1;64;10;1;1;167828
1;64;10;1;1;149872
1;64;10;0;0;118819
1;64;10;1;1;163173
1;64;10;0;0;168827
1;64;10;1;1;150147
1;64;10;0;0;134383
1;64;10;1;1;126539
1;64;10;0;0;127964
1;64;20;1;1;139632
1;64;20;1;1;158362
1;64;20;0;0;148125
1;64;20;0;0;156864
1;64;20;1;1;151353
1;64;20;1;1;142478
1;64;20;1;1;131355
1;64;20;1;1;165927
1;64;20;0;0;158161
1;64;20;1;1;138550
1;64;20;1;1;142800
1;64;20;1;1;137083
1;64;20;0;0;142935
1;64;20;0;0;139757
1;64;20;1;1;138072
1;64;20;1;1;131378
1;64;20;0;0;145827
1;64;20;1;1;150600
1;64;20;0;0;143233
1;64;20;1;1;152098
1;64;20;1;1;165717
1;64;20;0;0;137926
1;64;20;0;0;166675
1;64;20;0;0;148459
1;64;20;1;1;152364
1;64;20;1;1;134727
1;64;20;1;1;140827
1;64;20;1;1;307056
1;64;20;1;1;116437
1;64;20;1;1;130152
1;64;20;1;1;126885
1;64;20;0;0;127137
1;64;20;0;0;123565
1;64;20;1;1;140663
1;64;20;0;0;133893
1;64;20;0;0;128328
1;64;20;0;0;133196
1;64;20;1;1;111958
1;64;20;0;0;143758
1;64;20;0;0;129398
1;64;20;0;0;128224
1;64;20;1;1;126566
1;64;20;0;0;137316
1;64;20;0;0;125844
1;64;20;1;1;131703
1;64;20;0;0;145934
1;64;20;1;0;144866
1;64;20;0;0;137989
1;64;20;1;1;139389
1;64;20;0;0;120699
1;64;20;0;0;144391
1;64;20;1;1;128914
1;64;20;0;0;137933
1;64;20;0;0;145246
1;64;20;0;0;122594
1;64;20;0;0;128351
1;64;20;1;1;130687
1;64;20;0;0;131188
1;64;20;1;1;119469
1;64;20;1;1;130838
1;64;20;1;1;127526
1;64;20;0;0;111957
1;64;20;0;0;155098
1;64;20;1;1;125312
1;64;20;0;0;141241
1;64;20;1;1;126586
1;64;20;1;1;663697
1;64;20;1;1;127912
1;64;20;0;0;121125
1;64;20;1;1;139745
1;64;20;0;0;117205
1;64;20;0;0;160374
1;64;20;0;0;174220
1;64;20;0;0;189710
1;64;20;0;0;151395
1;64;20;1;1;131360
1;64;20;1;1;195236
1;64;20;0;0;149889
1;64;20;0;0;135200
1;64;20;1;1;135648
1;64;20;1;1;163716
1;64;20;0;0;146957
1;64;20;1;1;147107
1;64;20;1;1;148113
1;64;20;1;1;155661
1;64;20;1;1;143331
1;64;20;0;0;149998
1;64;20;1;1;170177
1;64;20;1;1;153959
1;64;20;1;1;148741
1;64;20;1;1;148614
1;64;20;1;1;147646
1;64;20;1;1;147514
1;64;20;0;0;169473
1;64;20;1;1;139476
1;64;20;0;0;191718
1;64;20;1;1;154876
1;64;20;0;0;153024
1;64;20;1;1;171164
1;64;20;0;0;134019
1;64;30;1;1;135589
1;64;30;1;1;149435
1;64;30;0;0;150685
1;64;30;0;0;151442
1;64;30;1;1;142513
1;64;30;1;1;140316
1;64;30;1;1;180875
1;64;30;1;1;149413
1;64;30;0;0;172065
1;64;30;1;1;156113
1;64;30;1;1;144481
1;64;30;1;1;162982
1;64;30;0;0;153653
1;64;30;0;0;158808
1;64;30;1;1;176835
1;64;30;1;1;177826
1;64;30;0;0;216562
1;64;30;1;1;172341
1;64;30;0;0;193338
1;64;30;1;1;168860
1;64;30;1;1;150446
1;64;30;0;0;136752
1;64;30;0;0;145639
1;64;30;0;0;158804
1;64;30;1;1;167878
1;64;30;1;1;154947
1;64;30;1;1;187920
1;64;30;1;1;155021
1;64;30;1;1;163481
1;64;30;1;1;217821
1;64;30;1;1;153389
1;64;30;0;0;156065
1;64;30;0;0;151107
1;64;30;1;1;158032
1;64;30;0;0;147340
1;64;30;0;0;161800
1;64;30;0;1;171506
1;64;30;1;1;144648
1;64;30;0;0;156826
1;64;30;0;1;196402
1;64;30;0;0;138448
1;64;30;1;1;198724
1;64;30;0;0;188293
1;64;30;0;0;150858
1;64;30;1;1;150552
1;64;30;0;0;144996
1;64;30;1;1;155505
1;64;30;0;0;153354
1;64;30;1;1;149685
1;64;30;0;0;162554
1;64;30;0;0;172991
1;64;30;1;1;161692
1;64;30;0;0;159631
1;64;30;0;0;157817
1;64;30;0;0;161478
1;64;30;0;0;161551
1;64;30;1;1;154397
1;64;30;0;0;149638
1;64;30;1;1;142118
1;64;30;1;1;162827
1;64;30;1;1;181454
1;64;30;0;0;169019
1;64;30;0;0;256504
1;64;30;1;1;174178
1;64;30;0;0;152259
1;64;30;1;1;148606
1;64;30;1;1;146023
1;64;30;1;1;160353
1;64;30;0;0;184894
1;64;30;1;1;172650
1;64;30;0;0;152446
1;64;30;0;0;156384
1;64;30;0;0;162213
1;64;30;0;0;164319
1;64;30;0;0;151418
1;64;30;1;1;164465
1;64;30;1;1;135518
1;64;30;0;1;156499
1;64;30;0;0;146708
1;64;30;1;1;131949
1;64;30;1;1;160383
1;64;30;0;0;157251
1;64;30;1;1;152525
1;64;30;1;1;162917
1;64;30;1;1;160672
1;64;30;1;1;161722
1;64;30;0;0;193650
1;64;30;1;1;147089
1;64;30;1;1;157544
1;64;30;1;1;145413
1;64;30;1;1;151273
1;64;30;1;1;133539
1;64;30;1;1;121079
1;64;30;0;0;133905
1;64;30;1;1;131712
1;64;30;0;0;126615
1;64;30;1;1;138095
1;64;30;0;0;136580
1;64;30;1;1;131262
1;64;30;0;0;131734
1;64;40;1;1;174471
1;64;40;1;1;151894
1;64;40;0;0;137521
1;64;40;0;0;137927
1;64;40;1;1;169943
1;64;40;1;1;148522
1;64;40;1;1;149707
1;64;40;1;1;143420
1;64;40;0;0;150421
1;64;40;1;1;148835
1;64;40;1;1;215251
1;64;40;1;1;187131
1;64;40;0;0;161849
1;64;40;0;0;145525
1;64;40;1;1;147769
1;64;40;1;1;164540
1;64;40;0;0;135887
1;64;40;1;1;150029
1;64;40;0;0;142566
1;64;40;1;1;140639
1;64;40;1;1;150944
1;64;40;0;0;149542
1;64;40;0;1;148990
1;64;40;0;0;134726
1;64;40;1;1;140846
1;64;40;1;1;147962
1;64;40;1;1;143671
1;64;40;1;1;168564
1;64;40;1;1;148937
1;64;40;1;1;137611
1;64;40;1;1;149713
1;64;40;0;0;135790
1;64;40;0;0;172301
1;64;40;1;1;151047
1;64;40;0;0;157098
1;64;40;0;0;154051
1;64;40;0;1;147279
1;64;40;1;1;233086
1;64;40;0;0;217039
1;64;40;0;0;165038
1;64;40;0;0;147980
1;64;40;1;1;196781
1;64;40;0;0;168987
1;64;40;0;0;132770
1;64;40;1;1;133286
1;64;40;0;1;141544
1;64;40;1;1;171240
1;64;40;0;0;137439
1;64;40;1;1;140000
1;64;40;0;0;145453
1;64;40;0;0;156869
1;64;40;1;1;138594
1;64;40;0;0;143347
1;64;40;0;0;133259
1;64;40;0;0;142521
1;64;40;0;0;155025
1;64;40;1;1;151590
