bit_count;stride;training_length;input;output;runtime
1;64;0;1;1;109403
1;64;0;1;1;102745
1;64;0;0;0;79840
1;64;0;0;1;83482
1;64;0;1;1;102671
1;64;0;1;1;97113
1;64;0;1;1;84924
1;64;0;1;1;92904
1;64;0;0;0;83663
1;64;0;1;1;77564
1;64;0;1;1;91015
1;64;0;1;1;114095
1;64;0;0;1;85105
1;64;0;0;0;97033
1;64;0;1;1;92971
1;64;0;1;1;93029
1;64;0;0;0;100852
1;64;0;1;1;99991
1;64;0;0;1;86292
1;64;0;1;1;84381
1;64;0;1;1;102401
1;64;0;0;0;86420
1;64;0;0;0;84504
1;64;0;0;1;85878
1;64;0;1;1;95405
1;64;0;1;0;98900
1;64;0;1;1;81498
1;64;0;1;1;100432
1;64;0;1;1;78215
1;64;0;1;1;93378
1;64;0;1;1;85508
1;64;0;0;0;93484
1;64;0;0;0;77136
1;64;0;1;1;82790
1;64;0;0;0;76256
1;64;0;0;1;100254
1;64;0;0;0;93543
1;64;0;1;1;93284
1;64;0;0;0;77808
1;64;0;0;1;85742
1;64;0;0;1;93856
1;64;0;1;1;90192
1;64;0;0;1;93492
1;64;0;0;1;92987
1;64;0;1;1;93425
1;64;0;0;0;88610
1;64;0;1;1;77100
1;64;0;0;1;78256
1;64;0;1;1;108045
1;64;0;0;0;103269
1;64;0;0;1;85470
1;64;0;1;1;91848
1;64;0;0;1;83535
1;64;0;0;1;86459
1;64;0;0;0;95494
1;64;0;0;1;86027
1;64;0;1;1;102211
1;64;0;0;0;86345
1;64;0;1;1;79381
1;64;0;1;1;94392
1;64;0;1;1;95483
1;64;0;0;1;85335
1;64;0;0;0;84373
1;64;0;1;1;83848
1;64;0;0;0;94950
1;64;0;1;1;100005
1;64;0;1;1;93385
1;64;0;1;1;76975
1;64;0;0;1;94374
1;64;0;1;1;95828
1;64;0;0;1;93513
1;64;0;0;0;94589
1;64;0;0;1;79651
1;64;0;0;0;93235
1;64;0;0;0;85253
1;64;0;1;1;78605
1;64;0;1;1;109451
1;64;0;0;0;92699
1;64;0;0;1;85896
1;64;0;1;1;84906
1;64;0;1;1;83957
1;64;0;0;0;99448
1;64;0;1;1;80881
1;64;0;1;1;92604
1;64;0;1;1;83599
1;64;0;1;1;95409
1;64;0;0;1;81677
1;64;0;1;1;104406
1;64;0;1;0;75818
1;64;0;1;1;92568
1;64;0;1;1;77462
1;64;0;1;1;75875
1;64;0;1;1;99436
1;64;0;0;0;83294
1;64;0;1;1;76879
1;64;0;0;0;93174
1;64;0;1;1;76076
1;64;0;0;1;85327
1;64;0;1;1;101885
1;64;0;0;0;95474
1;64;10;1;1;113973
1;64;10;1;1;101245
1;64;10;0;0;97979
1;64;10;0;0;77253
1;64;10;1;1;97813
1;64;10;1;1;84856
1;64;10;1;1;95086
1;64;10;1;1;91389
1;64;10;0;0;76410
1;64;10;1;1;87321
1;64;10;1;1;86627
1;64;10;1;1;77456
1;64;10;0;1;87486
1;64;10;0;1;93668
1;64;10;1;1;94208
1;64;10;1;1;84561
1;64;10;0;0;85034
1;64;10;1;1;85343
1;64;10;0;1;86980
1;64;10;1;1;101309
1;64;10;1;1;123075
1;64;10;0;0;111693
1;64;10;0;0;84912
1;64;10;0;0;100037
1;64;10;1;1;109299
1;64;10;1;1;96178
1;64;10;1;1;84512
1;64;10;1;1;86279
1;64;10;1;1;75698
1;64;10;1;1;103834
1;64;10;1;1;85716
1;64;10;0;0;93357
1;64;10;0;0;84765
1;64;10;1;1;87055
1;64;10;0;1;84213
1;64;10;0;0;111984
1;64;10;0;0;100449
1;64;10;1;1;96836
1;64;10;0;0;104908
1;64;10;0;0;112127
1;64;10;0;0;101188
1;64;10;1;0;86080
1;64;10;0;0;86098
1;64;10;0;0;100679
1;64;10;1;1;92136
1;64;10;0;0;108892
1;64;10;1;1;95749
1;64;10;0;0;86389
1;64;10;1;1;115699
1;64;10;0;0;101035
1;64;10;0;0;83488
1;64;10;1;1;110612
1;64;10;0;0;93980
1;64;10;0;0;104121
1;64;10;0;0;108084
1;64;10;0;1;93979
1;64;10;1;1;111635
1;64;10;0;0;108564
1;64;10;1;1;99492
1;64;10;1;1;104912
1;64;10;1;1;114293
1;64;10;0;0;77071
1;64;10;0;0;101647
1;64;10;1;1;79673
1;64;10;0;1;82572
1;64;10;1;1;83473
1;64;10;1;1;82973
1;64;10;1;1;92363
1;64;10;0;0;95725
1;64;10;1;1;87017
1;64;10;0;1;107876
1;64;10;0;0;84826
1;64;10;0;0;116506
1;64;10;0;0;85176
1;64;10;0;0;101065
1;64;10;1;1;99011
1;64;10;1;1;87386
1;64;10;0;0;101164
1;64;10;0;1;105991
1;64;10;1;1;93508
1;64;10;1;1;84371
1;64;10;0;0;92464
1;64;10;1;1;86695
1;64;10;1;1;95760
1;64;10;1;1;83716
1;64;10;1;1;75076
1;64;10;0;0;100466
1;64;10;1;1;107838
1;64;10;1;1;85265
1;64;10;1;1;103400
1;64;10;1;1;101830
1;64;10;1;1;96930
1;64;10;1;1;125783
1;64;10;0;0;85210
1;64;10;1;1;95508
1;64;10;0;0;101646
1;64;10;1;1;110701
1;64;10;0;0;93003
1;64;10;1;1;103218
1;64;10;0;1;77498
1;64;20;1;1;117415
1;64;20;1;1;115876
1;64;20;0;0;102077
1;64;20;0;0;112170
1;64;20;1;1;93180
1;64;20;1;1;103324
1;64;20;1;1;104142
1;64;20;1;1;117595
1;64;20;0;0;117554
1;64;20;1;1;112113
1;64;20;1;1;102520
1;64;20;1;1;93695
1;64;20;0;0;111214
1;64;20;0;0;95390
1;64;20;1;1;119381
1;64;20;1;0;90947
1;64;20;0;0;95049
1;64;20;1;1;104913
1;64;20;0;0;100419
1;64;20;1;1;96212
1;64;20;1;1;98737
1;64;20;0;0;109827
1;64;20;0;0;100854
1;64;20;0;0;102365
1;64;20;1;1;93709
1;64;20;1;1;102178
1;64;20;1;1;94944
1;64;20;1;1;92291
1;64;20;1;1;115775
1;64;20;1;1;117442
1;64;20;1;1;126182
1;64;20;0;0;131295
1;64;20;0;0;103141
1;64;20;1;1;101300
1;64;20;0;0;114345
1;64;20;0;0;94651
1;64;20;0;0;94031
1;64;20;1;1;90504
1;64;20;0;0;105894
1;64;20;0;0;102606
1;64;20;0;0;92079
1;64;20;1;1;92526
1;64;20;0;0;92355
1;64;20;0;0;93231
1;64;20;1;1;92512
1;64;20;0;0;94899
1;64;20;1;1;113020
1;64;20;0;0;98300
1;64;20;1;1;121944
1;64;20;0;0;93023
1;64;20;0;0;99465
1;64;20;1;1;99367
1;64;20;0;0;87111
1;64;20;0;1;98878
1;64;20;0;0;119753
1;64;20;0;0;92568
1;64;20;1;1;94915
1;64;20;0;1;126465
1;64;20;1;1;111318
1;64;20;1;1;105424
1;64;20;1;1;117417
1;64;20;0;0;96339
1;64;20;0;0;108854
1;64;20;1;1;107918
1;64;20;0;1;92900
1;64;20;1;1;101099
1;64;20;1;1;107751
