bit_count;stride;training_length;input;output;runtime
1;64;0;1;1;34286027
1;64;0;1;1;63237
1;64;0;0;0;73750
1;64;0;0;0;64429
1;64;0;1;1;64649
1;64;0;1;1;58369
1;64;0;1;1;58483
1;64;0;1;1;59246
1;64;0;0;1;58740
1;64;0;1;1;60984
1;64;0;1;1;63008
1;64;0;1;1;149425
1;64;0;0;1;67868
1;64;0;0;0;59226
1;64;0;1;1;64304
1;64;0;1;1;61635
1;64;0;0;0;57706
1;64;0;1;1;68879
1;64;0;0;1;63857
1;64;0;1;1;60219
1;64;0;1;1;68253
1;64;0;0;0;66251
1;64;0;0;0;61105
1;64;0;0;1;59515
1;64;0;1;1;59987
1;64;0;1;1;58629
1;64;0;1;1;67729
1;64;0;1;1;62274
1;64;0;1;1;146658
1;64;0;1;1;61841
1;64;0;1;0;54958
1;64;0;0;1;67985
1;64;0;0;1;101974
1;64;0;1;1;69456
1;64;0;0;1;60188
1;64;0;0;0;62964
1;64;0;0;0;65238
1;64;0;1;1;57679
1;64;0;0;1;57277
1;64;0;0;1;58319
1;64;0;0;0;62079
1;64;0;1;0;59013
1;64;0;0;0;59664
1;64;0;0;1;63347
1;64;0;1;0;58407
1;64;0;0;0;58720
1;64;0;1;1;58752
1;64;0;0;0;65058
1;64;0;1;1;67751
1;64;0;0;0;57806
1;64;0;0;1;56676
1;64;0;1;1;58387
1;64;0;0;1;50649
1;64;0;0;1;58490
1;64;0;0;1;56098
1;64;0;0;1;62906
1;64;0;1;1;62771
1;64;0;0;1;64329
1;64;0;1;1;58038
1;64;0;1;1;56511
1;64;0;1;0;61707
1;64;0;0;1;59960
1;64;0;0;1;59069
1;64;0;1;0;62456
1;64;0;0;1;57397
1;64;0;1;1;62688
1;64;0;1;1;62176
1;64;0;1;1;57126
1;64;0;0;1;57531
1;64;0;1;1;59428
1;64;0;0;1;63713
1;64;0;0;0;59004
1;64;0;0;0;57961
1;64;0;0;0;162644
1;64;0;0;1;69026
1;64;0;1;0;58278
1;64;0;1;0;63414
1;64;0;0;1;58896
1;64;0;0;0;60025
1;64;0;1;1;66857
1;64;0;1;0;60469
1;64;0;0;1;61967
1;64;0;1;1;61613
1;64;0;1;1;66650
1;64;0;1;1;58564
1;64;0;1;1;116578
1;64;0;0;0;57045
1;64;0;1;1;64615
1;64;0;1;0;56757
1;64;0;1;1;60810
1;64;0;1;1;57472
1;64;0;1;1;57729
1;64;0;1;1;62015
1;64;0;0;1;53362
1;64;0;1;1;57273
1;64;0;0;1;57324
1;64;0;1;1;57121
1;64;0;0;0;58976
1;64;0;1;1;56739
1;64;0;0;0;59299
1;64;10;1;1;52709
1;64;10;1;1;61205
1;64;10;0;0;63930
1;64;10;0;0;57891
1;64;10;1;1;69111
1;64;10;1;1;62587
1;64;10;1;1;67332
1;64;10;1;0;69329
1;64;10;0;0;65177
1;64;10;1;0;67378
1;64;10;1;1;77725
1;64;10;1;1;72869
1;64;10;0;0;65326
1;64;10;0;0;67534
1;64;10;1;1;68369
1;64;10;1;1;63182
1;64;10;0;0;68185
1;64;10;1;0;52702
1;64;10;0;0;65516
1;64;10;1;0;64130
1;64;10;1;1;63036
1;64;10;0;0;68576
1;64;10;0;0;64751
1;64;10;0;0;65322
1;64;10;1;1;57630
1;64;10;1;1;62310
1;64;10;1;1;57965
1;64;10;1;0;58702
1;64;10;1;0;65461
1;64;10;1;1;72475
1;64;10;1;1;63632
1;64;10;0;0;62220
1;64;10;0;1;58651
1;64;10;1;1;71106
1;64;10;0;0;64556
1;64;10;0;0;57070
1;64;10;0;0;63445
1;64;10;1;0;73615
1;64;10;0;0;60522
1;64;10;0;0;64905
1;64;10;0;0;63460
1;64;10;1;0;56604
1;64;10;0;0;60136
1;64;10;0;0;56834
1;64;10;1;1;63170
1;64;10;0;0;68970
1;64;10;1;1;65485
1;64;10;0;1;71269
1;64;10;1;1;70069
1;64;10;0;0;57620
1;64;10;0;0;63396
1;64;10;1;0;65577
1;64;10;0;1;65960
1;64;10;0;0;63230
1;64;10;0;0;63872
1;64;10;0;0;65728
1;64;10;1;1;76314
1;64;10;0;0;63404
1;64;10;1;0;62648
1;64;10;1;1;70628
1;64;10;1;0;65522
1;64;10;0;0;74973
1;64;10;0;0;62702
1;64;10;1;1;67686
1;64;10;0;0;62340
1;64;10;1;1;69747
1;64;10;1;1;63404
1;64;10;1;1;66815
1;64;10;0;0;62012
1;64;10;1;1;59418
1;64;10;0;0;63770
1;64;10;0;0;58369
1;64;10;0;0;66146
1;64;10;0;0;70067
1;64;10;0;1;63810
1;64;10;1;0;69095
1;64;10;1;0;72256
1;64;10;0;0;70955
1;64;10;0;0;57455
1;64;10;1;1;62878
1;64;10;1;1;68403
1;64;10;0;0;63266
1;64;10;1;0;64152
1;64;10;1;1;67753
1;64;10;1;1;63281
1;64;10;1;1;65554
1;64;10;0;0;69518
1;64;10;1;1;67938
1;64;10;1;1;58855
1;64;10;1;0;69350
1;64;10;1;1;70916
1;64;10;1;1;63219
1;64;10;1;1;62506
1;64;10;0;0;61990
1;64;10;1;1;75338
1;64;10;0;0;64578
1;64;10;1;1;59160
1;64;10;0;0;67569
1;64;10;1;0;65558
1;64;10;0;0;64005
1;64;20;1;0;67001
1;64;20;1;1;67838
1;64;20;0;1;72006
1;64;20;0;1;67846
1;64;20;1;1;69147
1;64;20;1;1;68019
1;64;20;1;0;68489
1;64;20;1;1;67828
1;64;20;0;0;73613
1;64;20;1;1;73036
1;64;20;1;1;72522
1;64;20;1;0;67961
1;64;20;0;0;69456
1;64;20;0;0;68403
1;64;20;1;1;66757
1;64;20;1;1;68320
1;64;20;0;0;68272
1;64;20;1;0;68814
1;64;20;0;0;64511
1;64;20;1;1;69854
1;64;20;1;1;76018
1;64;20;0;1;74426
1;64;20;0;0;69141
1;64;20;0;0;67878
1;64;20;1;1;87221
1;64;20;1;1;72728
1;64;20;1;1;77085
1;64;20;1;0;72927
1;64;20;1;1;67693
1;64;20;1;1;69891
1;64;20;1;1;73522
1;64;20;0;0;66652
1;64;20;0;0;68842
1;64;20;1;1;68260
1;64;20;0;0;74693
1;64;20;0;0;72451
1;64;20;0;0;68675
1;64;20;1;0;82865
1;64;20;0;0;67814
1;64;20;0;1;72467
1;64;20;0;0;80680
1;64;20;1;1;68528
1;64;20;0;1;73635
1;64;20;0;1;69311
1;64;20;1;1;68499
1;64;20;0;0;74555
1;64;20;1;1;68182
1;64;20;0;0;76748
1;64;20;1;0;74458
1;64;20;0;0;72088
1;64;20;0;0;64158
1;64;20;1;1;67669
1;64;20;0;0;64725
1;64;20;0;0;69698
1;64;20;0;0;69706
1;64;20;0;0;80172
1;64;20;1;1;71987
1;64;20;0;0;72503
1;64;20;1;1;73904
1;64;20;1;1;74719
1;64;20;1;1;68372
1;64;20;0;0;82275
1;64;20;0;0;72821
1;64;20;1;1;74106
1;64;20;0;1;69781
1;64;20;1;1;72193
1;64;20;1;1;68574
1;64;20;1;1;70915
1;64;20;0;1;74261
1;64;20;1;1;66867
1;64;20;0;0;69201
1;64;20;0;0;69766
1;64;20;0;0;68207
1;64;20;0;0;64711
1;64;20;0;1;68408
1;64;20;1;1;73940
1;64;20;1;1;68506
1;64;20;0;0;83038
1;64;20;0;0;76526
