bit_count;stride;training_length;input;output;runtime
1;64;0;1;1;100921
1;64;0;1;1;85535
1;64;0;0;1;103148
1;64;0;0;1;87427
1;64;0;1;1;105618
1;64;0;1;1;84003
1;64;0;1;1;92570
1;64;0;1;1;101169
1;64;0;0;1;99457
1;64;0;1;1;103433
1;64;0;1;1;104139
1;64;0;1;1;97271
1;64;0;0;1;105768
1;64;0;0;1;100303
1;64;0;1;1;103434
1;64;0;1;1;102474
1;64;0;0;1;109109
1;64;0;1;1;93455
1;64;0;0;1;98298
1;64;0;1;1;95946
1;64;0;1;1;96778
1;64;0;0;1;110617
1;64;0;0;1;103000
1;64;0;0;0;88977
1;64;0;1;1;244952
1;64;0;1;1;130619
1;64;0;1;1;106355
1;64;0;1;1;104222
1;64;0;1;1;86436
1;64;0;1;1;105998
1;64;0;1;1;103156
1;64;0;0;1;95560
1;64;0;0;1;108924
1;64;0;1;1;98342
1;64;0;0;1;94015
1;64;0;0;1;116616
1;64;0;0;1;99400
1;64;0;1;1;93528
1;64;0;0;1;94619
1;64;0;0;1;103772
1;64;0;0;1;104403
1;64;0;1;1;99665
1;64;0;0;1;100084
1;64;0;0;1;108199
1;64;0;1;1;118964
1;64;0;0;1;104316
1;64;0;1;1;96591
1;64;0;0;1;107168
1;64;0;1;1;110498
1;64;0;0;1;84907
1;64;0;0;1;113541
1;64;0;1;1;106856
1;64;0;0;1;153820
1;64;0;0;1;123932
1;64;0;0;1;95987
1;64;0;0;1;118644
1;64;0;1;1;113107
1;64;0;0;1;101805
1;64;0;1;1;96279
1;64;0;1;1;102704
1;64;0;1;1;111170
1;64;0;0;1;94372
1;64;0;0;1;102638
1;64;0;1;1;104757
1;64;0;0;1;97621
1;64;0;1;1;97789
1;64;0;1;1;103024
1;64;0;1;0;86860
1;64;0;0;1;108116
1;64;0;1;1;106963
1;64;0;0;1;192951
1;64;0;0;1;148345
1;64;0;0;1;149649
1;64;0;0;1;134567
1;64;0;0;1;165194
1;64;0;1;1;149481
1;64;0;1;1;135890
1;64;0;0;1;163900
1;64;0;0;1;174958
1;64;0;1;1;261900
1;64;0;1;1;154631
1;64;0;0;1;153747
1;64;0;1;1;140358
1;64;0;1;1;303541
1;64;0;1;1;162946
1;64;0;1;1;143219
1;64;0;0;1;104583
1;64;0;1;1;165580
1;64;0;1;1;176301
1;64;0;1;1;163826
1;64;0;1;1;154213
1;64;0;1;1;160621
1;64;0;1;1;187288
1;64;0;0;0;166190
1;64;0;1;1;161951
1;64;0;0;1;137676
1;64;0;1;1;182601
1;64;0;0;1;183716
1;64;0;1;1;178774
1;64;0;0;1;162455
1;64;10;1;1;162614
1;64;10;1;1;151089
1;64;10;0;1;191837
1;64;10;0;1;169281
1;64;10;1;1;179984
1;64;10;1;1;575640
1;64;10;1;1;164646
1;64;10;1;1;153468
1;64;10;0;1;155313
1;64;10;1;1;161610
1;64;10;1;1;170207
1;64;10;1;1;166697
1;64;10;0;1;138546
1;64;10;0;1;151529
1;64;10;1;1;170592
1;64;10;1;1;183481
1;64;10;0;1;214646
1;64;10;1;1;188190
1;64;10;0;1;154930
1;64;10;1;1;187542
1;64;10;1;1;198082
1;64;10;0;1;189995
1;64;10;0;1;131598
1;64;10;0;1;108558
1;64;10;1;1;112979
1;64;10;1;1;100697
1;64;10;1;1;109799
1;64;10;1;1;106834
1;64;10;1;1;116364
1;64;10;1;1;96401
1;64;10;1;1;102477
1;64;10;0;1;106461
1;64;10;0;1;109436
1;64;10;1;1;101708
1;64;10;0;1;99518
1;64;10;0;1;109491
1;64;10;0;1;113505
1;64;10;1;1;106452
1;64;10;0;1;101813
1;64;10;0;1;103300
1;64;10;0;1;139733
1;64;10;1;1;114048
1;64;10;0;1;97839
1;64;10;0;1;110108
1;64;10;1;1;113268
1;64;10;0;1;118886
1;64;10;1;1;118098
1;64;10;0;1;111639
1;64;10;1;1;119193
1;64;10;0;1;99780
1;64;10;0;1;103944
1;64;10;1;1;115015
1;64;10;0;1;139651
1;64;10;0;1;123408
1;64;10;0;1;146804
1;64;10;0;1;116647
1;64;10;1;1;107606
1;64;10;0;1;128705
1;64;10;1;1;116900
1;64;10;1;1;111375
1;64;10;1;1;151483
1;64;10;0;1;143855
1;64;10;0;1;102810
1;64;10;1;1;101334
1;64;10;0;1;116054
1;64;10;1;1;113850
1;64;10;1;1;110853
1;64;10;1;1;133929
1;64;10;0;1;121156
1;64;10;1;1;142630
1;64;10;0;1;114119
1;64;10;0;1;128579
1;64;10;0;1;122519
1;64;10;0;1;121542
1;64;10;0;1;120448
1;64;10;1;1;120479
1;64;10;1;1;118628
1;64;10;0;1;105400
1;64;10;0;1;98337
1;64;10;1;1;96590
1;64;10;1;1;117629
1;64;10;0;1;101658
1;64;10;1;1;118789
1;64;10;1;1;115076
1;64;10;1;1;143029
1;64;10;1;1;135405
1;64;10;0;1;128681
1;64;10;1;1;115075
1;64;10;1;1;100004
1;64;10;1;1;125367
1;64;10;1;1;104301
1;64;10;1;1;229642
1;64;10;1;1;135803
1;64;10;0;1;105312
1;64;10;1;1;119935
1;64;10;0;1;111767
1;64;10;1;1;107526
1;64;10;0;1;114043
1;64;10;1;1;97500
1;64;10;0;1;180888
1;64;20;1;1;135029
1;64;20;1;1;130496
1;64;20;0;1;123210
1;64;20;0;1;120915
1;64;20;1;1;127718
1;64;20;1;1;107957
1;64;20;1;1;128813
1;64;20;1;1;106009
1;64;20;0;1;108296
1;64;20;1;1;124824
