bit_count;stride;training_length;input;output;runtime
1;64;0;1;1;86800
1;64;0;1;1;62959
1;64;0;0;1;71942
1;64;0;0;0;87170
1;64;0;1;1;64609
1;64;0;1;1;72112
1;64;0;1;1;83430
1;64;0;1;1;82291
1;64;0;0;0;76653
1;64;0;1;1;73521
1;64;0;1;1;74895
1;64;0;1;1;74146
1;64;0;0;1;82618
1;64;0;0;0;93697
1;64;0;1;1;82806
1;64;0;1;1;90920
1;64;0;0;0;93803
1;64;0;1;1;92914
1;64;0;0;1;75582
1;64;0;1;1;80670
1;64;0;1;1;86832
1;64;0;0;0;79261
1;64;0;0;0;87161
1;64;0;0;1;87361
1;64;0;1;1;94755
1;64;0;1;1;67963
1;64;0;1;1;93846
1;64;0;1;1;81788
1;64;0;1;1;82049
1;64;0;1;1;84490
1;64;0;1;1;75166
1;64;0;0;1;83442
1;64;0;0;1;84243
1;64;0;1;1;73914
1;64;0;0;0;74903
1;64;0;0;0;81828
1;64;0;0;1;68921
1;64;0;1;1;83790
1;64;0;0;0;89655
1;64;0;0;0;77913
1;64;0;0;1;102204
1;64;0;1;1;81482
1;64;0;0;1;69720
1;64;0;0;0;92986
1;64;0;1;1;85209
1;64;0;0;1;91194
1;64;0;1;1;83975
1;64;0;0;0;76868
1;64;0;1;1;91830
1;64;0;0;0;82951
1;64;0;0;0;92744
1;64;0;1;1;96904
1;64;0;0;1;76943
1;64;0;0;0;79868
1;64;0;0;1;82122
1;64;0;0;1;75440
1;64;0;1;1;90480
1;64;0;0;1;82399
1;64;0;1;1;75948
1;64;0;1;1;92373
1;64;0;1;1;85136
1;64;0;0;1;91248
1;64;0;0;1;77780
1;64;0;1;1;95683
1;64;0;0;1;87363
1;64;0;1;1;72402
1;64;0;1;1;77241
1;64;0;1;1;97015
1;64;0;0;0;84068
1;64;0;1;1;88267
1;64;0;0;0;74930
1;64;0;0;0;90037
1;64;0;0;0;66738
1;64;0;0;0;84950
1;64;0;0;0;91375
1;64;0;1;1;68106
1;64;0;1;1;71824
1;64;0;0;0;87936
1;64;0;0;1;116656
1;64;0;1;1;76016
1;64;0;1;1;82750
1;64;0;0;1;75257
1;64;0;1;1;82655
1;64;0;1;1;67073
1;64;0;1;1;67690
1;64;0;1;1;92386
1;64;0;0;0;83915
1;64;0;1;1;73623
1;64;0;1;1;74508
1;64;0;1;1;92661
1;64;0;1;1;89687
1;64;0;1;0;70474
1;64;0;1;1;83908
1;64;0;0;1;79463
1;64;0;1;1;82775
1;64;0;0;0;81683
1;64;0;1;1;74110
1;64;0;0;0;82906
1;64;0;1;1;74303
1;64;0;0;0;89991
1;64;10;1;1;90659
1;64;10;1;0;90612
1;64;10;0;0;91168
1;64;10;0;0;75931
1;64;10;1;1;81214
