bit_count;stride;training_length;input;output;runtime
1;64;0;1;1;53100
1;64;0;1;1;41948
1;64;0;0;1;51401
1;64;0;0;0;116393
1;64;0;1;1;51649
1;64;0;1;1;55107
1;64;0;1;1;52539
1;64;0;1;1;45187
1;64;0;0;0;54780
1;64;0;1;1;60295
1;64;0;1;1;75907
1;64;0;1;1;46222
1;64;0;0;1;56895
1;64;0;0;0;52648
1;64;0;1;1;50274
1;64;0;1;1;45011
1;64;0;0;0;45690
1;64;0;1;1;46375
1;64;0;0;1;49556
1;64;0;1;1;48325
1;64;0;1;1;46877
1;64;0;0;0;48257
1;64;0;0;1;50905
1;64;0;0;0;60291
1;64;0;1;1;55097
1;64;0;1;1;49907
1;64;0;1;1;104366
1;64;0;1;1;51416
1;64;0;1;1;55621
1;64;0;1;1;45396
1;64;0;1;1;50100
1;64;0;0;0;46611
1;64;0;0;1;46465
1;64;0;1;1;49711
1;64;0;0;1;45626
1;64;0;0;1;48023
1;64;0;0;1;50845
1;64;0;1;1;48729
1;64;0;0;1;56714
1;64;0;0;1;46453
1;64;0;0;1;51829
1;64;0;1;1;55498
1;64;0;0;0;46808
1;64;0;0;0;47060
1;64;0;1;1;46229
1;64;0;0;0;47412
1;64;0;1;1;51311
1;64;0;0;1;45011
1;64;0;1;1;45977
1;64;0;0;0;58920
1;64;0;0;0;47352
1;64;0;1;1;59430
1;64;0;0;1;133124
1;64;0;0;1;95964
1;64;0;0;1;46665
1;64;0;0;1;53312
1;64;0;1;1;50667
1;64;0;0;1;46649
1;64;0;1;1;46408
1;64;0;1;1;46479
1;64;0;1;1;62730
1;64;0;0;1;45701
1;64;0;0;0;47079
1;64;0;1;1;46840
1;64;0;0;1;120477
1;64;0;1;1;46927
1;64;0;1;1;47003
1;64;0;1;1;46548
1;64;0;0;1;53084
1;64;0;1;1;46959
1;64;0;0;0;54533
1;64;0;0;1;48666
1;64;0;0;1;47749
1;64;0;0;1;48388
1;64;0;0;0;53199
1;64;0;1;1;46690
1;64;0;1;1;46711
1;64;0;0;1;45670
1;64;0;0;1;51357
1;64;0;1;1;131359
1;64;0;1;1;88706
1;64;0;0;1;55220
1;64;0;1;1;47439
1;64;0;1;1;47117
1;64;0;1;1;46885
1;64;0;1;1;51194
1;64;0;0;0;51476
1;64;0;1;1;53273
1;64;0;1;0;50104
1;64;0;1;1;43871
1;64;0;1;1;46804
1;64;0;1;1;105128
1;64;0;1;1;53796
1;64;0;0;1;50655
1;64;0;1;0;48335
1;64;0;0;1;54153
1;64;0;1;1;46757
1;64;0;0;1;54425
1;64;0;1;0;45279
1;64;0;0;0;50364
1;64;10;1;1;53259
1;64;10;1;1;56687
1;64;10;0;1;65177
1;64;10;0;1;59849
1;64;10;1;1;60519
1;64;10;1;1;68994
1;64;10;1;1;61758
1;64;10;1;1;78511
1;64;10;0;0;57246
1;64;10;1;1;63997
1;64;10;1;1;53493
1;64;10;1;1;56824
1;64;10;0;0;58397
1;64;10;0;0;66840
1;64;10;1;1;58933
1;64;10;1;1;55966
1;64;10;0;1;56586
1;64;10;1;1;59466
1;64;10;0;0;58294
1;64;10;1;1;55153
1;64;10;1;1;65526
1;64;10;0;0;90197
1;64;10;0;0;66940
1;64;10;0;0;119276
1;64;10;1;1;135046
1;64;10;1;1;58379
1;64;10;1;1;60338
1;64;10;1;1;52834
1;64;10;1;1;54710
1;64;10;1;1;52241
1;64;10;1;1;137251
1;64;10;0;1;63670
1;64;10;0;1;59325
1;64;10;1;1;51919
1;64;10;0;1;58474
1;64;10;0;1;55726
1;64;10;0;1;58479
1;64;10;1;1;51803
1;64;10;0;1;57667
1;64;10;0;1;63826
1;64;10;0;1;59712
1;64;10;1;1;69768
1;64;10;0;0;58393
1;64;10;0;1;53412
1;64;10;1;1;55627
1;64;10;0;1;56336
1;64;10;1;1;69902
1;64;10;0;1;153987
1;64;10;1;1;59394
1;64;10;0;1;58014
1;64;10;0;1;96747
1;64;10;1;1;57467
1;64;10;0;1;58708
1;64;10;0;1;60578
1;64;10;0;1;59547
1;64;10;0;0;55819
1;64;10;1;1;56245
1;64;10;0;1;57165
1;64;10;1;1;102117
1;64;10;1;1;105724
1;64;10;1;1;57610
1;64;10;0;1;57992
1;64;10;0;1;67468
1;64;10;1;1;61199
1;64;10;0;1;56673
1;64;10;1;0;58062
1;64;10;1;1;53311
1;64;10;1;1;50566
1;64;10;0;0;70162
1;64;10;1;1;59995
1;64;10;0;0;50990
1;64;10;0;1;87010
1;64;10;0;1;90981
1;64;10;0;0;55680
1;64;10;0;1;51934
1;64;10;1;1;59389
1;64;10;1;1;117589
1;64;10;0;1;52566
1;64;10;0;0;55206
1;64;10;1;1;60721
1;64;10;1;1;59009
1;64;10;0;1;57554
1;64;10;1;1;53604
1;64;10;1;1;57631
1;64;10;1;1;55833
1;64;10;1;1;70388
1;64;10;0;0;56384
1;64;10;1;1;58518
1;64;10;1;1;57427
1;64;10;1;1;64837
1;64;10;1;1;51216
1;64;10;1;1;50478
1;64;10;1;1;54002
1;64;10;0;1;56469
1;64;10;1;1;162043
1;64;10;0;0;54820
1;64;10;1;1;59319
1;64;10;0;0;59973
1;64;10;1;1;57731
1;64;10;0;1;57784
1;64;20;1;1;63414
1;64;20;1;1;71499
1;64;20;0;0;120169
1;64;20;0;1;57645
1;64;20;1;1;61260
1;64;20;1;1;70925
1;64;20;1;1;62399
1;64;20;1;1;56077
1;64;20;0;1;57921
1;64;20;1;1;61985
1;64;20;1;1;61205
1;64;20;1;1;67959
1;64;20;0;0;63900
1;64;20;0;0;60953
1;64;20;1;1;60535
1;64;20;1;1;62472
1;64;20;0;0;63172
1;64;20;1;1;62002
1;64;20;0;1;104433
1;64;20;1;1;60475
1;64;20;1;1;68379
1;64;20;0;1;76962
1;64;20;0;1;67433
1;64;20;0;1;61500
1;64;20;1;1;58260
1;64;20;1;1;65689
1;64;20;1;1;65258
1;64;20;1;1;101203
1;64;20;1;1;131990
1;64;20;1;1;128779
1;64;20;1;1;140008
1;64;20;0;1;164220
1;64;20;0;0;58145
1;64;20;1;1;141300
1;64;20;0;0;102734
1;64;20;0;0;63196
1;64;20;0;1;122031
1;64;20;1;0;60687
1;64;20;0;1;60374
1;64;20;0;1;79570
1;64;20;0;1;69121
1;64;20;1;1;140164
1;64;20;0;1;66926
1;64;20;0;1;98292
1;64;20;1;0;102002
1;64;20;0;1;142855
1;64;20;1;1;139012
1;64;20;0;0;64844
1;64;20;1;1;59389
1;64;20;0;1;66648
1;64;20;0;0;63146
1;64;20;1;1;70434
1;64;20;0;0;62171
1;64;20;0;1;65312
1;64;20;0;1;56733
1;64;20;0;1;61927
1;64;20;1;1;61849
1;64;20;0;1;62064
1;64;20;1;1;58778
1;64;20;1;1;63018
1;64;20;1;1;62071
1;64;20;0;1;62615
1;64;20;0;0;64870
1;64;20;1;1;70357
1;64;20;0;1;61044
1;64;20;1;1;62632
1;64;20;1;1;63929
1;64;20;1;1;72869
1;64;20;0;1;63598
1;64;20;1;1;64818
1;64;20;0;1;59383
1;64;20;0;1;106658
1;64;20;0;1;82081
1;64;20;0;0;135252
1;64;20;0;1;139651
1;64;20;1;1;62995
1;64;20;1;1;72994
1;64;20;0;1;62232
1;64;20;0;1;67864
1;64;20;1;1;62046
1;64;20;1;1;63394
1;64;20;0;1;62203
1;64;20;1;1;134640
1;64;20;1;1;101068
