n_b;n_a;stride;training_length;input;output;runtime
10;1;4096;20;1001100111;0000000000;312963
10;1;4096;20;1001100111;0000000111;253307
10;1;4096;20;1111111010;0000000000;161573
10;1;4096;20;0100111010;0100111010;174138
10;1;4096;20;1111011101;1111011101;172837
10;1;4096;20;0100011011;0000000000;269441
10;1;4096;20;0110111101;0110111101;172863
10;1;4096;20;1111110101;0000000000;198200
10;1;4096;20;0001111000;0001111000;148406
10;1;4096;20;1000000011;1000000011;176563
10;1;4096;20;0001101111;0000000111;227504
10;1;4096;20;1010111111;0000000000;168920
10;1;4096;20;1011010000;0000000000;150163
10;1;4096;20;0110101010;0110101010;159822
10;1;4096;20;0000011011;1111111111;163612
10;1;4096;20;1011010101;1011010101;149032
10;1;4096;20;0101111100;0000000000;288105
10;1;4096;20;0110111001;0110111001;155554
10;1;4096;20;1001010110;1111111111;194968
10;1;4096;20;0000011001;1111111111;162307
10;1;4096;20;1011000111;0000000111;247593
10;1;4096;20;1100110000;0000000000;158307
10;1;4096;20;1011000010;0000000000;166994
10;1;4096;20;1000001110;1000001110;149493
10;1;4096;20;1101001001;1111111111;157443
10;1;4096;20;0011011101;0000000000;167907
10;1;4096;20;1010110101;0000010101;199404
10;1;4096;20;1000100101;1000100101;219086
10;1;4096;20;0101110011;0000000000;158958
10;1;4096;20;1101110111;1101110111;153076
10;1;4096;20;1110100101;1110100101;197298
10;1;4096;20;1001001000;0000000000;149685
10;1;4096;20;1000001010;1000001010;153272
10;1;4096;20;0111100111;0111100111;148258
10;1;4096;20;0001000110;0000000000;200502
10;1;4096;20;1110001000;1110001000;168718
10;1;4096;20;0011100100;0011100100;149417
10;1;4096;20;0110110111;0110110111;159416
10;1;4096;20;0001101000;0000000000;157549
10;1;4096;20;0000011100;0000011100;158396
10;1;4096;20;0110011010;0000000000;166148
10;1;4096;20;1001101101;0000000000;159376
10;1;4096;20;0001000110;0000000000;159354
10;1;4096;20;1101000100;1101000100;158710
10;1;4096;20;0011111001;0000001000;161267
10;1;4096;20;1110010010;0000000000;267408
10;1;4096;20;0101000101;0000000000;152193
10;1;4096;20;1111000110;1111000110;158368
10;1;4096;20;1111100111;0000000000;186531
10;1;4096;20;0111111100;0000000000;150587
10;1;4096;20;1000101010;0000000000;159709
10;1;4096;20;0010011001;0000000000;162456
10;1;4096;20;0110100010;1111111111;156700
10;1;4096;20;0010011110;0000000110;276935
10;1;4096;20;1000001000;0000000000;194478
10;1;4096;20;0101000110;0000000000;218078
10;1;4096;20;1000111111;1111111111;155318
10;1;4096;20;0111011010;0000000000;146768
10;1;4096;20;1101101001;0000000000;231271
10;1;4096;20;1111101111;0000001011;309412
10;1;4096;20;0000111001;0000111001;198432
10;1;4096;20;0000110010;0000000000;161702
10;1;4096;20;1011000010;1011000010;162711
10;1;4096;20;1000101011;0000000000;187847
10;1;4096;20;0010101000;0000000000;143248
10;1;4096;20;0101100001;0101100001;157044
10;1;4096;20;0100010111;0000000000;247799
10;1;4096;20;1110001111;0000000000;161549
10;1;4096;20;1010001010;0000000000;155528
10;1;4096;20;0100011101;0000000000;174622
10;1;4096;20;1001000000;1001000000;155648
10;1;4096;20;0010010100;0000000000;157301
10;1;4096;20;0110111110;0000000000;159396
10;1;4096;20;0000010000;0000000000;220928
10;1;4096;20;1101110110;0000000000;155533
10;1;4096;20;1111010011;0000000000;153984
10;1;4096;20;0011100001;0000000000;187734
10;1;4096;20;1010110010;0000000000;159237
10;1;4096;20;0001110000;0000110000;234656
10;1;4096;20;1000000011;0000100001;150886
10;1;4096;20;0101000011;0000000000;144126
10;1;4096;20;1000011100;1000011100;156774
10;1;4096;20;0011010111;0011010111;157932
10;1;4096;20;1111110001;0000000000;225610
10;1;4096;20;0000000101;0000000101;158965
10;1;4096;20;0101110011;0000000000;160831
10;1;4096;20;0101001110;0101001110;159854
10;1;4096;20;0010101111;0010101111;150543
10;1;4096;20;1101110001;1101110001;193351
10;1;4096;20;1001000001;1001000001;153494
10;1;4096;20;0000001011;0000001011;155963
10;1;4096;20;0100110111;0000000000;160034
10;1;4096;20;1000111011;1111111111;149214
10;1;4096;20;0010001110;0000000000;152080
10;1;4096;20;0010100001;0010100001;156163
10;1;4096;20;0100100000;0000000000;159354
10;1;4096;20;1000000001;0000000000;159727
10;1;4096;20;0001001110;0001001110;146867
10;1;4096;20;1111001101;0000000000;211399
10;1;4096;20;0010010100;0000000000;177628
10;2;4096;20;10011100011001100111;10011100011001100111;183954
10;2;4096;20;10011100011001100111;00000000000000000000;238719
10;2;4096;20;01000111111111111010;01000111111111111010;186978
10;2;4096;20;10001101000100111010;00000000000000000000;176115
10;2;4096;20;00100011001111011101;00100011001111011101;180414
10;2;4096;20;10101101110100011011;00000000000000000000;323826
10;2;4096;20;10001011100110111101;10001011100110111101;175782
10;2;4096;20;10110100001111110101;00000000000000000000;240457
10;2;4096;20;00101001100001111000;00101001100001111000;287383
10;2;4096;20;01010111001000000011;01010111001000000011;251645
10;2;4096;20;01101001100001101111;00000000000000000000;183222
10;2;4096;20;01011001011010111111;01011001011010111111;182562
10;2;4096;20;00101001001011010000;00000000000000000000;182976
10;2;4096;20;11110111110110101010;11110111110110101010;193125
10;2;4096;20;01111000010000011011;01111000010000011011;220177
10;2;4096;20;11010110011011010101;00000000000000000000;188277
10;2;4096;20;10011111110101111100;11111111111111111111;199214
10;2;4096;20;11111010110110111001;00000000000000111000;247457
10;2;4096;20;11110001111001010110;11110001111001010110;176825
10;2;4096;20;10000111100000011001;00000000000000011001;211737
10;2;4096;20;00010101001011000111;00010101001011000111;185068
10;2;4096;20;10100000111100110000;10100000111100110000;198930
10;2;4096;20;00101111001011000010;00000000000000000000;176789
10;2;4096;20;11101001111000001110;00000000000000000000;177372
10;2;4096;20;00001110101101001001;00001110101101001001;227284
