stat;N_P;T_P;N_T;T_T;L_E;N_R;T_R
props;153;19972;20;1747;567;150;52970
props;153;19269;20;1884;607;150;51092
props;153;19439;20;1995;520;150;55006
props;153;18994;20;3076;599;150;56099
props;153;19204;20;2618;498;150;52184
props;153;19979;20;2732;597;150;54950
props;153;20190;20;2124;552;150;53540
props;153;19618;20;2580;617;150;54141
props;153;20453;20;2007;472;150;52284
props;153;19578;20;2344;535;150;52443
props;153;20148;20;1794;482;150;52799
props;153;19408;20;1678;450;150;53188
props;153;20182;20;2045;1083;150;55601
props;153;19611;20;1926;563;150;69147
props;153;21292;20;4289;545;150;98784
props;153;19164;20;5457;1349;150;172113
props;153;19469;20;2012;399;150;55048
props;153;65436;20;1660;529;150;53824
props;153;20307;20;2082;466;150;53883
props;153;19269;20;1886;470;150;51569
props;153;19898;20;1957;555;150;52779
props;153;19045;20;3040;563;150;54675
props;153;20106;20;2749;1208;150;54214
props;153;19238;20;8437;1692;150;63976
props;153;20596;20;1955;593;150;123907
props;153;20657;20;1930;478;150;138308
props;153;19833;20;1868;466;150;52658
props;153;20221;20;1843;488;150;51252
props;153;19912;20;1840;509;150;53836
props;153;20632;20;1973;363;150;172164
props;153;19904;20;2340;484;150;54954
props;153;20804;20;3101;645;150;54632
props;153;19460;20;1804;472;150;51635
props;153;19993;20;1813;510;150;53784
props;153;19579;20;1781;653;150;53197
props;153;20128;20;1926;351;150;54720
props;153;19541;20;1704;506;150;154849
props;153;20330;20;1807;533;150;52718
props;153;19529;20;1743;474;150;52571
props;153;19609;20;2253;533;150;53630
props;153;21183;20;2279;589;150;56988
props;153;20344;20;2035;643;150;51651
props;153;19781;20;1773;561;150;52214
props;153;19529;20;2042;495;150;51359
props;153;19971;20;1852;692;150;57812
props;153;19375;20;1981;549;150;54358
props;153;20088;20;2080;372;150;51686
props;153;19400;20;1828;510;150;52751
props;153;19797;20;3322;339;150;56283
props;153;19541;20;2860;524;150;56913
props;153;20134;20;1819;482;150;52049
props;153;19282;20;2030;1357;150;52406
props;153;19910;20;1815;559;150;53515
props;153;19335;20;1644;452;150;52406
props;153;20275;20;2076;359;150;52466
props;153;19513;20;2240;527;150;52987
props;153;20206;20;1731;490;150;53346
props;153;54298;20;1810;550;150;54822
props;153;20568;20;2554;599;150;62648
props;153;19958;20;2014;662;150;53047
props;153;18758;20;1811;357;150;54084
props;153;20160;20;1688;571;150;51736
props;153;19235;20;1780;480;150;50661
props;153;20177;20;1650;532;150;58054
props;153;19216;20;1584;472;150;52636
props;153;19892;20;4654;547;150;61970
props;153;19682;20;3182;573;150;104164
props;153;20255;20;2279;567;150;55085
props;153;19242;20;1900;468;150;52004
props;153;19857;20;1826;476;150;52305
props;153;19303;20;2203;553;150;52178
props;153;19282;20;1721;555;150;50540
props;153;85543;20;2017;492;150;87271
props;153;18801;20;2016;457;150;51863
props;153;20190;20;2026;571;150;52451
props;153;19446;20;3666;809;150;68390
props;153;19918;20;2100;497;150;52903
props;153;93691;20;2348;1488;150;100943
props;153;19759;20;1691;486;150;53701
props;153;19465;20;1834;470;150;52533
props;153;20215;20;1783;483;150;52267
props;153;19024;20;1753;492;150;51316
props;153;20277;20;2045;668;150;51918
props;153;20124;20;1928;628;150;56559
props;153;19279;20;2114;476;150;51787
props;153;20243;20;1913;546;150;52559
props;153;19235;20;1686;512;150;52533
props;153;19833;20;1606;349;150;52618
props;153;19268;20;1696;579;150;52331
props;153;20046;20;1709;482;150;150436
props;153;19503;20;1775;529;150;52398
props;153;20098;20;1837;359;150;51806
props;153;19364;20;2219;662;150;52097
props;153;19468;20;1622;340;150;52985
props;153;19810;20;2011;468;150;51528
props;153;19277;20;2172;472;150;52434
props;153;20063;20;1836;547;150;52326
props;153;19553;20;1874;621;150;51270
props;153;20233;20;2051;478;150;51102
props;153;19330;20;1694;515;150;52192
