n_b;n_a;stride;training_length;input;output;runtime
10;4;4096;20;0101000101110011011010011100011001100111;0101000101110011011010011100011001100111;1124315
10;4;4096;20;0101000101110011011010011100011001100111;0101000101110011011010011100011001100111;1189202
10;4;4096;20;1101010101001111010001000111111111111010;1101010101001111010001000111111111111010;1024843
10;4;4096;20;0101000100101000110110001101000100111010;0101000100101000110110001101000100111010;1328283
10;4;4096;20;1111001100011110010000100011001111011101;1111001100011110010000100011001111011101;1144442
10;4;4096;20;0110110000001000011010101101110100011011;0110110000001000011010101101110100011011;1195325
10;4;4096;20;1010110000110001000110001011100110111101;1010110000110001000110001011100110111101;1255479
10;4;4096;20;0110110110101111001110110100001111110101;0110110110101111001110110100001111110101;1262470
10;4;4096;20;0101011101111101001000101001100001111000;0101011101111101001000101001100001111000;1046470
10;4;4096;20;0111001001010111101001010111001000000011;0111001001010111101001010111001000000011;1093197
10;4;4096;20;0000001000110101001001101001100001101111;0000001000110101001001101001100001101111;1001389
10;4;4096;20;0010101100001101011101011001011010111111;0010101100001101011101011001011010111111;1192924
10;4;4096;20;0011101111000000101100101001001011010000;0011101111000000101100101001001011010000;1099566
10;4;4096;20;0111110010001111101111110111110110101010;0111110010001111101111110111110110101010;995920
10;4;4096;20;0000000101011010000101111000010000011011;0000000000000000000000001000010000011011;1307832
10;4;4096;20;0101000010000111001111010110011011010101;0000000000000000000000000000011011010101;1654315
10;4;4096;20;1100001101001100100010011111110101111100;0000000000000000000000000000000000000000;1216233
10;4;4096;20;1001111100000011011111111010110110111001;1001111100000011011111111010110110111001;1190255
10;4;4096;20;0000010011011111010011110001111001010110;0000010011011111010011110001111001010110;1080805
10;4;4096;20;1100011100001010001110000111100000011001;1100011100001010001110000111100000011001;1180246
10;4;4096;20;1011100001000111011000010101001011000111;1011100001000111011000010101001011000111;1181468
10;4;4096;20;0110000001100010001110100000111100110000;0110000001100010001110100000111100110000;1360932
10;4;4096;20;0110110010010001111100101111001011000010;0110110010010001111100101111001011000010;1043404
